description,units,source key,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,net_generation,2019
Wisconsin,thousand megawatthours,ELEC.GEN.WND-WI-99.A,,,,,,,,,,,,,,,,,,,
Wisconsin : all sectors,thousand megawatthours,ELEC.GEN.WND-WI-99.A,72,46,98,104,93,101,109,487,1052,1088,1188,1558,1558,1618,1589,1515,1641,1638,1649
Wisconsin : electric power,,ELEC.GEN.WND-WI-98.A,,,,,,,,,,,,,,,,,,,
Wisconsin : electric utility,thousand megawatthours,ELEC.GEN.WND-WI-1.A,44,46,43,43,37,39,47,263,555,541,574,939,997,1026,1051,972,984,878,870
Wisconsin : independent power producers,thousand megawatthours,ELEC.GEN.WND-WI-94.A,29,--,55,60,55,62,63,224,497,547,614,618,561,585,531,536,649,733,752
Wisconsin : all commercial,thousand megawatthours,ELEC.GEN.WND-WI-96.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,20,20
Wisconsin : all industrial,thousand megawatthours,ELEC.GEN.WND-WI-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,7,7,7,7,7,7
West North Central,thousand megawatthours,ELEC.GEN.WND-WNC-99.A,,,,,,,,,,,,,,,,,,,
West North Central : all sectors,thousand megawatthours,ELEC.GEN.WND-WNC-99.A,1428,2305,2467,2632,4130,6144,7536,12454,19637,24182,31288,37561,44436,49249,51867,60923,72542,72907,83154
West North Central : electric power,,ELEC.GEN.WND-WNC-98.A,,,,,,,,,,,,,,,,,,,
West North Central : electric utility,thousand megawatthours,ELEC.GEN.WND-WNC-1.A,14,28,66,65,720,1514,2091,3048,5219,6713,9376,12051,13791,14742,17430,21334,24237,24282,28513
West North Central : independent power producers,thousand megawatthours,ELEC.GEN.WND-WNC-94.A,1414,2278,2401,2566,3411,4630,5445,9406,14419,17457,21885,25479,30614,34473,34405,39556,48259,48578,54594
West North Central : all commercial,thousand megawatthours,ELEC.GEN.WND-WNC-96.A,--,--,--,--,--,--,--,--,--,12,26,31,31,34,32,33,46,47,47
West North Central : all industrial,thousand megawatthours,ELEC.GEN.WND-WNC-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Iowa,thousand megawatthours,ELEC.GEN.WND-IA-99.A,,,,,,,,,,,,,,,,,,,
Iowa : all sectors,thousand megawatthours,ELEC.GEN.WND-IA-99.A,488,919,982,1050,1647,2318,2757,4084,7421,9170,10709,14032,15568,16307,17873,20072,21373,21334,26558
Iowa : electric power,,ELEC.GEN.WND-IA-98.A,,,,,,,,,,,,,,,,,,,
Iowa : electric utility,thousand megawatthours,ELEC.GEN.WND-IA-1.A,10,13,14,10,609,1120,1530,2354,3598,4407,5122,7452,8576,9034,10724,12770,14206,14834,18964
Iowa : independent power producers,thousand megawatthours,ELEC.GEN.WND-IA-94.A,477,905,968,1040,1038,1198,1226,1730,3822,4764,5583,6578,6989,7269,7146,7298,7163,6497,7590
Iowa : all commercial,thousand megawatthours,ELEC.GEN.WND-IA-96.A,--,--,--,--,--,--,--,--,--,--,4,3,4,4,3,4,4,3,4
Iowa : all industrial,thousand megawatthours,ELEC.GEN.WND-IA-97.A,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
Kansas,thousand megawatthours,ELEC.GEN.WND-KS-99.A,,,,,,,,,,,,,,,,,,,
Kansas : all sectors,thousand megawatthours,ELEC.GEN.WND-KS-99.A,40,467,366,359,426,992,1153,1759,2863,3405,3720,5195,9433,10845,10999,14111,18598,18908,21501
Kansas : electric power,,ELEC.GEN.WND-KS-98.A,,,,,,,,,,,,,,,,,,,
Kansas : electric utility,thousand megawatthours,ELEC.GEN.WND-KS-1.A,--,--,2,3,1,106,306,415,642,819,1018,852,917,902,883,830,1651,1900,1922
